DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
CL;307077;CR.P.CONV;NOSSA SENHORA APARECIDA;NOSSA SENHORA APARECIDA;;CAMPO LIMPO;CAMPO LIMPO;RUA LUÍS DA FONSECA GALVÃO;136;PARQUE MARIA HELENA;5855300;55101344;;;Ativa;19;CAPAO REDONDO;1903;35430766;35430766;;2 A 3 ANOS;01/04/2009;2008.0.165.174.0;01/04/2009;01/abr/09;04/abr/14;;;;-23668302;-46766354;31/12/2022
CL;326238;CR.P.CONV;NOSSA SENHORA APARECIDA;NOSSA SENHORA APARECIDA;;CAMPO LIMPO;M'BOI MIRIM;RUA VIRURI;185;JARDIM ALFREDO;4909070;58942933;;;Ativa;46;JARDIM SAO LUIS;4604;35006098;35006098;;;07/02/2019;6,0162E+13;07/02/2019;;;;;;-23677588;-46736535;31/12/2022
CL;306242;CR.P.CONV;NOSSA SENHORA DA PAZ;NOSSA SENHORA DA PAZ;;CAMPO LIMPO;M'BOI MIRIM;RUA ALBERTO BORGES SOVERAL;24;PARQUE INDEPENDÊNCIA;5875210;58342070;;;Ativa;43;JARDIM ANGELA;4301;35184019;35184019;;1A A 3A;;;;20/jul/02;29/dez/11;;NS SRA DA PAZ;;-23692975;-46782378;31/12/2022
CL;308009;CR.P.CONV;NOSSA SENHORA DAS GRACAS;NOSSA SENHORA DAS GRACAS;;CAMPO LIMPO;M'BOI MIRIM;AVENIDA ALBERTO VICENTE CARDOSO;85;JARDIM THOMAZ;5833030;58942812;;;Ativa;46;JARDIM SAO LUIS;4603;35498014;35498014;;1A A 2A;19/11/2013;2,01302E+11;19/11/2013;19/nov/13;11/ago/14;;;;-23672515;-46758100;31/12/2022
CL;309364;CEI INDIR;NOSSA SENHORA DAS GRACAS - INSTITUTO CIO DA TERRA;NOSSA SENHORA DAS GRACAS - INSTITUTO CIO DA TERRA;;CAMPO LIMPO;M'BOI MIRIM;RUA SANTA RITA DO SAPUCAI;215;JARDIM TUPI;4939170;58358857;;;Ativa;43;JARDIM ANGELA;4304;35006486;35006486;;;03/04/2019;6,0162E+15;03/04/2019;;;;NOSSA SENHORA DAS GRACAS - INSTITUTO CIO DA T;;-23689950;-46768939;31/12/2022
CL;306244;CR.P.CONV;NOSSA SENHORA DO BOM CONSELHO MAE DE MISERICORDIA ;NOSSA SENHORA DO BOM CONSELHO MAE DE MISERICORDIA ;;CAMPO LIMPO;M'BOI MIRIM;RUA NOSSA SENHORA DO BOM CONSELHO;123;VILA PREL;5763470;55117205;;;Ativa;46;JARDIM SAO LUIS;4601;35184081;35184081;;2 A 3 A ;;;;20/jul/02;;;NS SRA DO BOM CONSELHO;;-23647522;-46756614;31/12/2022
CL;306245;CR.P.CONV;NOSSA SENHORA DO CAMINHO I;NOSSA SENHORA DO CAMINHO I;;CAMPO LIMPO;M'BOI MIRIM;RUA ENGENHEIRO ANTÔNIO ALVES BRAGA;17;RIVIERA PAULISTA;4923160;55176907;;;Ativa;46;JARDIM SAO LUIS;4605;35184159;35184159;;1A A 3A;;;;20/jul/02;02/ago/11;;NS SRA DO CAMINHO;;-23701082;-46745285;31/12/2022
CL;307163;CR.P.CONV;NOSSA SENHORA DO CAMINHO II;NOSSA SENHORA DO CAMINHO II;;CAMPO LIMPO;M'BOI MIRIM;RUA PADRE CLARO;50;RIVIERA PAULISTA;4923120;55177454;55176165;;Ativa;46;JARDIM SAO LUIS;4605;35435223;35435223;;1A A 3 A;15/10/2009;2009.0.020.927.1;15/10/2009;15/out/09;02/ago/11;;;;-23700856;-46746017;31/12/2022
CL;309606;CR.P.CONV;NOSSA SENHORA MAGLAC II;NOSSA SENHORA MAGLAC II;;CAMPO LIMPO;CAMPO LIMPO;RUA GUARAMEMBÉ;195;UMARIZAL;5754060;58446331;987196056;;Ativa;17;CAMPO LIMPO;1702;35007466;35007466;;;24/09/2020;6,0162E+15;24/09/2020;;;;;;-23621149;-46754821;31/12/2022
CL;309617;CR.P.CONV;NOSSA SENHORA MAGLAC III;NOSSA SENHORA MAGLAC III;;CAMPO LIMPO;CAMPO LIMPO;RUA MARTIM DA COSTA VILELA;154;VILA PIRAJUSSARA;5786140;37986891;;;Ativa;17;CAMPO LIMPO;1705;35007486;35007486;;;08/10/2020;2732020;08/10/2020;;;;;;-23638711;-46773884;31/12/2022
CL;308276;CR.P.CONV;NOSSA SENHORA RAINHA DA PAZ;NOSSA SENHORA RAINHA DA PAZ;;CAMPO LIMPO;CAMPO LIMPO;RUA SERRA DA LAGOA;21;JARDIM MODELO;5867450;58724203;;;Ativa;19;CAPAO REDONDO;1904;35576897;35576897;;;23/06/2015;2,01501E+11;23/06/2015;;15/mar/22;;;;-23672350;-46767982;31/12/2022
CL;308284;CR.P.CONV;NOVA AURORA;NOVA AURORA;;CAMPO LIMPO;M'BOI MIRIM;RUA ISAÍAS BRANCO DE ARAÚJO;354;VILA DAS BELEZAS;5841150;55130313;954448567;;Ativa;46;JARDIM SAO LUIS;4601;35577091;35577091;;;29/06/2015;2,01501E+11;29/06/2015;;09/mar/19;;;;-23645615;-46741920;31/12/2022
CL;400865;CEI INDIR;NOVO IPE I;NOVO IPE I;;CAMPO LIMPO;CAMPO LIMPO;AVENIDA PROFESSOR OSCAR CAMPIGLIA;431;PARQUE IPÊ;5762230;58197764;58127559;;Ativa;17;CAMPO LIMPO;1704;35006064;35006064;;;10/05/2019;58748;09/05/2019;;04/fev/19;;;;-23641605;-46761610;31/12/2022
CL;308569;CR.P.CONV;NOVOS CAMINHOS;NOVOS CAMINHOS;;CAMPO LIMPO;CAMPO LIMPO;RUA MIGUEL GONCALVES CORREIA;177;VILA PIRAJUSSARA;5786160;58429740;;;Ativa;17;CAMPO LIMPO;1705;35584496;35584496;;;24/02/2016;2,01503E+11;24/02/2016;;02/dez/17;;;;-23635187;-46771395;31/12/2022
CL;307404;ESC.PART.;O SER EM EVOLUCAO;O SER EM EVOLUCAO;;CAMPO LIMPO;M'BOI MIRIM;AVENIDA IVIRAPEMA;3;PARQUE BOLOGNE;4941010;58326714;;;Ativa;46;JARDIM SAO LUIS;4605;35813606;35813606;;02 ANOS A 05 ANOS DE IDADE;02/11/2010;346;28/10/2010;;02/nov/10;;;;-23672308;-46717048;31/12/2022
CL;308629;CR.P.CONV;OLIVEIRA;OLIVEIRA;;CAMPO LIMPO;CAMPO LIMPO;RUA CARUXA;156;VILA FRANCA;5776360;55129941;;;Ativa;17;CAMPO LIMPO;1703;35585750;35585750;;;17/05/2016;2,01503E+11;17/05/2016;;13/jul/22;;;;-23636914;-46744078;31/12/2022
CL;92886;EMEF;OLIVEIRA VIANA;OLIVEIRA VIANA;;CAMPO LIMPO;M'BOI MIRIM;RUA PROFESSOR BARROSO DO AMARAL;694;JARDIM PLANALTO;4937010;58310046;58311942;;Ativa;43;JARDIM ANGELA;4304;35054100;35054100;1,622E+14;;04/09/1975;12.197;03/09/1975;;10/abr/81;;E.M. VILA SANTA LUCIA;;-23686526;-46763578;31/12/2022
CL;574;EMEI;ORLANDO DE ALVARENGA GAUDIO, PROF.;ORLANDO DE ALVARENGA GAUDIO, PROF.;;CAMPO LIMPO;M'BOI MIRIM;RUA ANTÔNIO ELIAS SCHOUERI;142;PARQUE DO LAGO;4945005;55171008;55170848;;Ativa;43;JARDIM ANGELA;4306;35066285;35066285;1,622E+14;;09/12/1988;27.470;09/12/1988;;07/nov/92;;;;-23715175;-46779841;31/12/2022
CL;92975;EMEF;OTONIEL MOTA;OTONIEL MOTA;;CAMPO LIMPO;M'BOI MIRIM;RUA RAIMUNDA FRANKLIN DE MELO;184;PARQUE SANTO ANTONIO;5850270;58162564;55113424;;Ativa;46;JARDIM SAO LUIS;4603;35053934;35053934;1,622E+14;;04/09/1975;12.197;03/09/1975;;10/abr/81;;E.M. JARDIM CAPELINHA;;-23659536;-46755091;31/12/2022
CL;93025;EMEF;PALIMERCIO DE REZENDE, CEL.;PALIMERCIO DE REZENDE, CEL.;;CAMPO LIMPO;CAMPO LIMPO;RUA MANUEL RIBEIRO DE AZEVEDO;S/N   ;JARDIM CATANDUVA;5767480;58428080;58413943;;Ativa;17;CAMPO LIMPO;1704;35053831;35053831;1,622E+14;;12/11/1970;9.129;11/11/1970;;10/abr/81;;;;-23635162;-46762577;31/12/2022
CL;19375;CEU EMEI;PARAISOPOLIS;PARAISOPOLIS;PARAISOPOLIS;CAMPO LIMPO;CAMPO LIMPO;RUA DOUTOR JOSÉ AUGUSTO DE SOUZA E SILVA;S/N   ;JARDIM PARQUE MORUMBI;5712040;37471950;37471967;;Ativa;83;VILA ANDRADE;8302;35413008;35413008;1,622E+14;;21/05/2008;49510;20/05/2008;;18/mar/10;;;;-23622254;-46727379;31/12/2022
CL;19384;CEU EMEF;PARAISOPOLIS;PARAISOPOLIS;PARAISOPOLIS;CAMPO LIMPO;CAMPO LIMPO;RUA DOUTOR JOSÉ AUGUSTO DE SOUZA E SILVA;S/N   ;JARDIM PARQUE MORUMBI;5712040;37471963;37471964;;Ativa;83;VILA ANDRADE;8302;35413012;35413012;1,622E+14;;21/05/2008;49510;20/05/2008;;18/mar/10;;;;-23622254;-46727379;31/12/2022
CL;400685;CEI INDIR;PARAISOPOLIS;PARAISOPOLIS;;CAMPO LIMPO;CAMPO LIMPO;RUA ERNEST RENAM;1054;PARAISÓPOLIS;5659020;37448096;;37448096;Ativa;83;VILA ANDRADE;8302;35375780;35375780;;02 A 04 ANOS;03/04/2008;2008.0.056.040.6;03/04/2008;03/abr/08;10/abr/13;;;;-23614361;-46724392;31/12/2022
